Company Name,Industry,Acquisition Date,Churn Date,Subscription Tier
TechCorp_55,Healthcare,2024-01-03,,Pro
TechCorp_56,Tech,2023-09-16,,Enterprise
TechCorp_57,Tech,2023-02-17,,Pro
TechCorp_58,Healthcare,2023-01-02,,Starter
TechCorp_59,E-commerce,2023-03-24,,Pro
TechCorp_60,Fintech,2023-10-15,2023-12-03,Enterprise
TechCorp_61,Fintech,2023-10-07,2024-02-08,Pro
TechCorp_62,Tech,2023-08-09,,Starter
TechCorp_63,Tech,2024-04-05,,Pro
TechCorp_64,E-commerce,2023-07-01,,Pro
TechCorp_65,Fintech,2024-05-13,,Starter
TechCorp_66,Fintech,2024-03-18,,Pro
TechCorp_67,Healthcare,2024-03-27,,Starter
TechCorp_68,Fintech,2024-02-05,,Pro
TechCorp_69,E-commerce,2023-05-17,,Pro
TechCorp_70,E-commerce,2024-03-22,2024-08-19,Starter
TechCorp_71,Fintech,2023-06-29,,Pro
TechCorp_72,Healthcare,2023-04-25,2023-07-13,Starter
TechCorp_73,E-commerce,2024-03-18,2024-06-27,Starter
TechCorp_74,Tech,2023-12-14,,Pro
TechCorp_75,Healthcare,2023-03-01,,Starter
TechCorp_76,Healthcare,2023-01-20,,Starter
TechCorp_77,E-commerce,2023-08-12,,Pro
TechCorp_78,E-commerce,2024-04-05,,Starter
TechCorp_79,Fintech,2023-01-01,,Pro
TechCorp_80,Healthcare,2023-07-06,,Enterprise
TechCorp_81,Healthcare,2023-11-16,,Pro
TechCorp_82,E-commerce,2023-09-17,,Starter
TechCorp_83,E-commerce,2023-12-23,,Starter
TechCorp_84,Fintech,2023-12-07,,Pro
TechCorp_85,Tech,2023-11-12,,Starter
TechCorp_86,Healthcare,2023-06-05,,Starter
TechCorp_87,E-commerce,2023-08-27,,Pro
TechCorp_88,Fintech,2024-02-11,,Pro
TechCorp_89,Healthcare,2023-12-04,2024-05-13,Pro
TechCorp_90,Healthcare,2023-02-17,,Pro
TechCorp_91,Tech,2023-04-26,,Starter
TechCorp_92,Tech,2023-05-06,,Pro
TechCorp_93,Fintech,2023-08-22,,Pro
TechCorp_94,Fintech,2024-01-03,,Starter
TechCorp_95,Tech,2023-03-17,,Starter
TechCorp_96,E-commerce,2024-02-03,,Starter
TechCorp_97,Tech,2023-01-26,,Enterprise
TechCorp_98,Healthcare,2023-08-22,,Starter
TechCorp_99,E-commerce,2024-05-01,,Starter
TechCorp_100,Fintech,2024-03-01,,Starter
TechCorp_101,Fintech,2024-01-16,,Starter
TechCorp_102,E-commerce,2024-03-06,,Pro
TechCorp_103,Healthcare,2023-11-17,,Starter
TechCorp_104,Tech,2023-05-01,,Starter
TechCorp_105,Fintech,2023-03-12,,Starter
TechCorp_106,Healthcare,2023-12-28,,Starter
TechCorp_107,E-commerce,2023-10-05,,Starter
TechCorp_108,Tech,2023-07-19,,Pro
TechCorp_109,E-commerce,2024-03-14,,Pro
TechCorp_110,E-commerce,2023-01-04,,Starter
TechCorp_111,Fintech,2024-03-12,,Pro
TechCorp_112,Tech,2023-09-07,,Starter
TechCorp_113,E-commerce,2023-07-19,,Pro
TechCorp_114,Fintech,2024-01-06,,Starter
TechCorp_115,Tech,2023-11-15,,Enterprise
TechCorp_116,E-commerce,2023-02-12,,Starter
TechCorp_117,E-commerce,2023-04-04,2023-08-09,Starter
TechCorp_118,Healthcare,2023-06-17,,Pro
TechCorp_119,Tech,2024-01-21,,Starter
TechCorp_120,Healthcare,2023-08-29,2024-02-13,Starter
TechCorp_121,Tech,2023-04-25,,Pro
TechCorp_122,Tech,2024-01-22,2024-04-24,Starter
TechCorp_123,Tech,2023-11-15,,Starter
TechCorp_124,Healthcare,2023-10-16,,Starter
TechCorp_125,Tech,2024-01-28,,Pro
TechCorp_126,Tech,2024-02-03,,Enterprise
TechCorp_127,E-commerce,2023-10-24,2024-02-10,Pro
TechCorp_128,Fintech,2023-07-23,,Starter
TechCorp_129,Tech,2023-02-22,,Starter
TechCorp_130,Healthcare,2024-02-12,,Pro
TechCorp_131,Healthcare,2023-09-30,,Starter
TechCorp_132,Tech,2023-01-07,,Pro
TechCorp_133,E-commerce,2023-08-10,,Pro
TechCorp_134,Healthcare,2023-12-29,,Starter
TechCorp_135,E-commerce,2023-11-12,,Pro
TechCorp_136,Healthcare,2023-08-27,,Pro
TechCorp_137,Tech,2023-06-15,,Pro
TechCorp_138,E-commerce,2023-05-23,,Starter
TechCorp_139,Tech,2023-10-19,,Starter
TechCorp_140,Fintech,2023-09-11,,Starter
TechCorp_141,Healthcare,2023-07-01,,Starter
TechCorp_142,E-commerce,2023-10-12,2023-12-29,Starter
TechCorp_143,E-commerce,2023-09-08,,Starter
TechCorp_144,Tech,2023-11-27,,Starter
TechCorp_145,Fintech,2023-02-17,,Starter
TechCorp_146,Healthcare,2023-06-06,,Starter
TechCorp_147,Healthcare,2023-08-06,,Pro
TechCorp_148,Fintech,2023-12-26,,Starter
TechCorp_149,Fintech,2023-03-03,,Starter
TechCorp_150,Healthcare,2023-04-09,,Starter
TechCorp_151,Healthcare,2023-02-21,,Starter
TechCorp_152,Fintech,2023-04-02,,Pro
TechCorp_153,Fintech,2023-05-21,2023-07-03,Pro
TechCorp_154,Tech,2023-11-23,,Starter
TechCorp_155,Healthcare,2023-10-21,,Starter
TechCorp_156,E-commerce,2023-04-05,,Starter
TechCorp_157,Tech,2023-02-28,,Starter
TechCorp_158,Fintech,2023-10-23,,Starter
TechCorp_159,Fintech,2024-02-20,,Starter
TechCorp_160,Fintech,2023-03-02,,Starter
TechCorp_161,E-commerce,2024-02-02,,Starter
TechCorp_162,Healthcare,2023-06-02,,Enterprise
TechCorp_163,Tech,2023-10-19,,Pro
TechCorp_164,Healthcare,2024-04-30,,Pro
TechCorp_165,Tech,2023-12-05,2024-03-05,Starter
TechCorp_166,E-commerce,2023-03-22,2023-08-14,Pro
TechCorp_167,E-commerce,2023-05-30,2023-09-10,Pro
TechCorp_168,Fintech,2023-02-06,,Enterprise
TechCorp_169,Fintech,2023-08-06,,Starter
TechCorp_170,Tech,2024-04-10,,Starter
TechCorp_171,Healthcare,2023-03-26,,Pro
TechCorp_172,E-commerce,2023-08-13,,Pro
TechCorp_173,E-commerce,2024-04-27,,Pro
TechCorp_174,Healthcare,2023-02-11,,Pro
TechCorp_175,Tech,2023-11-06,,Starter
TechCorp_176,Tech,2024-01-27,,Starter
TechCorp_177,E-commerce,2024-01-26,,Starter
TechCorp_178,E-commerce,2024-04-14,,Enterprise
TechCorp_179,E-commerce,2023-11-22,,Enterprise
TechCorp_180,Tech,2023-06-28,,Starter
TechCorp_181,E-commerce,2024-03-15,,Starter
TechCorp_182,Tech,2023-05-28,,Starter
TechCorp_183,E-commerce,2023-08-21,2023-11-23,Starter
TechCorp_184,E-commerce,2024-03-18,,Enterprise
TechCorp_185,E-commerce,2023-07-31,2024-01-09,Starter
TechCorp_186,Healthcare,2023-11-17,,Starter
TechCorp_187,E-commerce,2023-10-09,,Starter
TechCorp_188,Fintech,2023-03-04,2023-09-11,Pro
TechCorp_189,E-commerce,2023-12-30,,Pro
TechCorp_190,Tech,2023-02-17,,Pro
TechCorp_191,Fintech,2023-08-25,,Pro
TechCorp_192,Healthcare,2023-09-13,,Starter
TechCorp_193,Fintech,2023-08-01,,Enterprise
TechCorp_194,Fintech,2023-08-22,,Starter
TechCorp_195,Healthcare,2024-03-18,2024-08-01,Starter
TechCorp_196,E-commerce,2024-02-25,2024-06-10,Pro
TechCorp_197,Healthcare,2024-03-19,,Pro
TechCorp_198,E-commerce,2023-06-20,,Pro
TechCorp_199,Fintech,2024-04-22,,Starter
TechCorp_200,E-commerce,2023-10-20,,Pro
TechCorp_201,E-commerce,2023-01-23,,Starter
TechCorp_202,Fintech,2023-07-17,,Pro
TechCorp_203,Healthcare,2023-09-11,,Starter
TechCorp_204,Tech,2024-03-21,,Pro
TechCorp_205,Fintech,2023-09-27,,Starter
TechCorp_206,Tech,2023-07-29,,Enterprise
TechCorp_207,E-commerce,2023-08-29,,Starter
TechCorp_208,E-commerce,2023-11-29,2024-03-22,Pro
TechCorp_209,E-commerce,2024-05-03,,Pro
TechCorp_210,Fintech,2024-03-22,,Pro
TechCorp_211,Fintech,2023-11-20,,Starter
TechCorp_212,Tech,2024-01-18,2024-03-13,Pro
TechCorp_213,Tech,2023-08-16,,Starter
TechCorp_214,Healthcare,2023-01-24,,Starter
TechCorp_215,E-commerce,2023-07-11,,Starter
TechCorp_216,Fintech,2023-10-17,,Starter
TechCorp_217,Fintech,2023-02-10,,Starter
TechCorp_218,E-commerce,2023-09-12,,Starter
TechCorp_219,Tech,2023-11-23,,Starter
TechCorp_220,Fintech,2024-04-05,,Enterprise
TechCorp_221,Healthcare,2023-02-07,,Starter
TechCorp_222,E-commerce,2023-11-24,,Pro
TechCorp_223,E-commerce,2024-03-08,,Enterprise
TechCorp_224,Healthcare,2023-02-24,,Pro
TechCorp_225,E-commerce,2023-12-25,,Enterprise
TechCorp_226,E-commerce,2023-05-21,2023-07-02,Enterprise
TechCorp_227,Fintech,2024-03-02,,Starter
TechCorp_228,Fintech,2023-11-07,,Starter
TechCorp_229,Fintech,2023-11-14,,Pro
TechCorp_230,Healthcare,2023-11-18,2024-05-26,Pro
TechCorp_231,Fintech,2024-02-08,,Pro
TechCorp_232,E-commerce,2023-02-16,,Starter
TechCorp_233,Healthcare,2023-03-31,,Pro
TechCorp_234,Fintech,2023-09-29,,Starter
TechCorp_235,Healthcare,2023-05-12,,Enterprise
TechCorp_236,E-commerce,2024-01-18,,Pro
TechCorp_237,E-commerce,2024-05-08,2024-08-03,Pro
TechCorp_238,Tech,2024-05-10,,Pro
TechCorp_239,Tech,2024-02-09,,Starter
TechCorp_240,Healthcare,2023-08-21,,Pro
TechCorp_241,Healthcare,2023-10-27,,Pro
TechCorp_242,Healthcare,2023-02-25,,Starter
TechCorp_243,E-commerce,2024-04-13,,Pro
TechCorp_244,Tech,2024-04-10,,Pro
TechCorp_245,E-commerce,2023-03-13,2023-04-21,Starter
TechCorp_246,E-commerce,2023-03-01,2023-08-15,Starter
TechCorp_247,E-commerce,2023-07-09,,Pro
TechCorp_248,E-commerce,2023-10-28,,Starter
TechCorp_249,Healthcare,2023-12-02,2024-05-05,Pro
TechCorp_250,E-commerce,2023-01-17,,Starter
TechCorp_251,Healthcare,2024-05-01,,Starter
TechCorp_252,Tech,2023-10-06,,Pro
TechCorp_253,E-commerce,2023-07-23,,Enterprise
TechCorp_254,Tech,2023-02-16,,Pro
TechCorp_255,Fintech,2023-01-26,,Starter
TechCorp_256,Fintech,2024-02-07,,Starter
TechCorp_257,Healthcare,2023-10-28,,Pro
TechCorp_258,Tech,2024-02-01,,Enterprise
TechCorp_259,Fintech,2023-05-22,,Starter
TechCorp_260,Tech,2023-10-04,,Starter
TechCorp_261,Tech,2023-03-09,2023-06-07,Pro
TechCorp_262,E-commerce,2023-03-31,,Starter
TechCorp_263,E-commerce,2023-09-27,,Starter
TechCorp_264,E-commerce,2024-02-03,,Pro
TechCorp_265,Healthcare,2023-09-15,,Pro
TechCorp_266,E-commerce,2023-08-23,,Starter
TechCorp_267,E-commerce,2024-03-09,,Pro
TechCorp_268,Tech,2023-12-31,,Starter
TechCorp_269,Healthcare,2023-06-14,,Starter
TechCorp_270,Healthcare,2023-11-16,,Pro
TechCorp_271,E-commerce,2023-07-15,,Pro
TechCorp_272,Tech,2023-09-16,,Starter
TechCorp_273,Fintech,2024-03-12,,Pro
TechCorp_274,Healthcare,2023-08-09,,Starter
TechCorp_275,Tech,2024-02-28,,Starter
TechCorp_276,Healthcare,2023-06-10,,Pro
TechCorp_277,Tech,2024-05-03,,Enterprise
TechCorp_278,Tech,2023-02-16,,Starter
TechCorp_279,Tech,2024-01-17,,Pro
TechCorp_280,Tech,2023-10-28,,Pro
TechCorp_281,E-commerce,2023-07-30,,Pro
TechCorp_282,Healthcare,2024-03-20,,Starter
TechCorp_283,Fintech,2023-11-04,,Starter
TechCorp_284,Tech,2023-03-21,,Starter
TechCorp_285,Healthcare,2023-06-29,,Starter
TechCorp_286,Tech,2023-10-21,,Starter
TechCorp_287,Healthcare,2023-11-08,,Pro
TechCorp_288,Healthcare,2023-01-15,,Pro
TechCorp_289,Fintech,2024-04-16,,Starter
TechCorp_290,Tech,2023-10-17,,Starter
TechCorp_291,E-commerce,2023-02-16,,Starter
TechCorp_292,Healthcare,2023-08-21,,Starter
TechCorp_293,Tech,2024-02-02,,Pro
TechCorp_294,Tech,2023-03-21,,Pro
TechCorp_295,E-commerce,2023-05-20,,Starter
TechCorp_296,Tech,2023-08-01,,Pro
TechCorp_297,E-commerce,2023-06-26,,Starter
TechCorp_298,E-commerce,2023-09-27,,Starter
TechCorp_299,Fintech,2023-11-03,2024-01-24,Starter
